SkillKey,ClassKey,SkillCategory,ActionSlot,RangeMin,RangeMax,TargetType,TargetShape,RequiredOverlayType,EffectGroupKey,CombatType,DamageType
string,string,enum,int,int,int,enum,enum,enum,string,enum,enum
BEIGE_ICE_COLD_ACCUMULATION,BEIGE_ICE,PASSIVE,1,0,0,SELF,,,BEIGE_ICE_COLD_ACCUMULATION_EFFECTS,NONE,NONE
BEIGE_ICE_ICE_BOLT,BEIGE_ICE,CAST,2,1,5,ENEMY_SINGLE,,,BEIGE_ICE_ICE_BOLT_EFFECTS,RANGED,MAGIC
BEIGE_ICE_ICE_SHIELD,BEIGE_ICE,CAST,3,0,5,ALLY_SINGLE,,,BEIGE_ICE_ICE_SHIELD_EFFECTS,SUPPORT,NONE
BEIGE_ICE_HAIL,BEIGE_ICE,CAST,4,1,5,TILE_OR_ENEMY,,,BEIGE_ICE_HAIL_EFFECTS,RANGED,MAGIC
BEIGE_ICE_STORM_CENTER,BEIGE_ICE,TOGGLE,5,0,0,SELF_TOGGLE,,,BEIGE_ICE_STORM_CENTER_EFFECTS,SUPPORT,NONE
BEIGE_ICE_COLD_HARD_WORKER,BEIGE_ICE,CAST,6,0,0,SELF,,,BEIGE_ICE_COLD_HARD_WORKER_EFFECTS,SUPPORT,NONE
BEIGE_ICE_THAWING_POTION,BEIGE_ICE,CAST,7,0,0,SELF,,,BEIGE_ICE_THAWING_POTION_EFFECTS,SUPPORT,NONE
BEIGE_FIRE_HEAT_ACCUMULATION,BEIGE_FIRE,PASSIVE,1,0,0,SELF,,,BEIGE_FIRE_HEAT_ACCUMULATION_EFFECTS,NONE,NONE
BEIGE_FIRE_FIREBALL,BEIGE_FIRE,CAST,2,1,5,ENEMY_SINGLE,,,BEIGE_FIRE_FIREBALL_EFFECTS,RANGED,MAGIC
BEIGE_FIRE_EXPLOSION,BEIGE_FIRE,CAST,3,1,4,TILE_OR_ENEMY,RADIUS_1,,BEIGE_FIRE_EXPLOSION_EFFECTS,RANGED,MAGIC
BEIGE_FIRE_FIRE_WALL,BEIGE_FIRE,CAST,4,1,4,TILE_OR_ENEMY,LINE_3,,BEIGE_FIRE_FIRE_WALL_EFFECTS,RANGED,NONE
BEIGE_FIRE_TELEPORT,BEIGE_FIRE,CAST,5,1,5,EMPTY_TILE,,FIRE,BEIGE_FIRE_TELEPORT_EFFECTS,SUPPORT,NONE
BEIGE_FIRE_AMBITIOUS,BEIGE_FIRE,CAST,6,0,0,SELF,,,BEIGE_FIRE_AMBITIOUS_EFFECTS,SUPPORT,NONE
BEIGE_FIRE_COOLING_POTION,BEIGE_FIRE,CAST,7,0,0,SELF,,,BEIGE_FIRE_COOLING_POTION_EFFECTS,SUPPORT,NONE
SUEN_AXE_MAN_IN_HELL,SUEN_AXE,PASSIVE,1,0,0,SELF,,,SUEN_AXE_MAN_IN_HELL_EFFECTS,NONE,NONE
SUEN_AXE_WEAPON_STRIKE,SUEN_AXE,CAST,2,0,1,ENEMY_SINGLE,,,SUEN_AXE_WEAPON_STRIKE_EFFECTS,MELEE,PHYSICAL
SUEN_AXE_WEAPON_TECHNIQUE,SUEN_AXE,CAST,4,1,4,ENEMY_SINGLE,,,SUEN_AXE_WEAPON_TECHNIQUE_EFFECTS,RANGED,PHYSICAL
SUEN_AXE_CLEANER,SUEN_AXE,CAST,3,0,0,SELF,ADJACENT_6,,SUEN_AXE_CLEANER_EFFECTS,MELEE,PHYSICAL
SUEN_AXE_LONE_GROWING_MAN,SUEN_AXE,CAST,5,0,1,ALLY_OR_SELF,,,SUEN_AXE_LONE_GROWING_MAN_EFFECTS,SUPPORT,NONE
SUEN_AXE_LAST_MAN_STANDING,SUEN_AXE,CAST,6,0,0,SELF,,,SUEN_AXE_LAST_MAN_STANDING_EFFECTS,SUPPORT,NONE
SUEN_AXE_PICK_UP_AXE,SUEN_AXE,CAST,7,1,1,PICKUP_TILE,,,SUEN_AXE_PICK_UP_AXE_EFFECTS,SUPPORT,NONE
SUEN_PARVIS_MAN_IN_HELL,SUEN_PARVIS,PASSIVE,1,0,0,SELF,,,SUEN_PARVIS_MAN_IN_HELL_EFFECTS,NONE,NONE
SUEN_PARVIS_INSTALL,SUEN_PARVIS,CAST,2,1,1,EMPTY_TILE,,,SUEN_PARVIS_INSTALL_EFFECTS,SUPPORT,NONE
