ConfigKey,Value,Unit
string,int,string
real_minutes_per_game_day,10,minutes
expedition_satiety_max,100,points
expedition_satiety_drain_per_real_minute,8,points_per_real_minute
expedition_satiety_refill_threshold,60,points
expedition_satiety_refill_target,80,points
village_stock_reset_interval_real_minutes,70,minutes
trade_premium_margin_percent,50,percent
trade_other_margin_percent,10,percent
expedition_starting_gold,1000,gold
battle_victory_fame,10,fame
battle_satiety_hungry_threshold,50,satiety
battle_satiety_hungry_hp_loss_percent,30,percent
battle_satiety_critical_threshold,20,satiety
battle_satiety_critical_hp_loss_percent,50,percent
battle_negative_fame_morale_percent,50,percent
