EnumName,EnumValue,Description
string,string,string
PawnRole,TANKER,장갑 회복/전방 유지 역할군
PawnRole,MELEE,근접 공격 역할군
PawnRole,RANGED,원거리/주문 공격 역할군
PawnRole,SPEAR,전방 2칸 ZOC를 사용하는 창병 역할군
PawnClass,PAWN_CLASS_BEIGE_ICE,베이지 얼음
PawnClass,PAWN_CLASS_BEIGE_FIRE,베이지 불
PawnClass,PAWN_CLASS_SUEN_AXE_SWORD,수엔 도끼/검
PawnClass,PAWN_CLASS_SUEN_PARVIS,수엔 파비스
PawnClass,PAWN_CLASS_ALEN_SWORD_SHIELD,알렌 검방패
PawnClass,PAWN_CLASS_ALEN_SPEAR,알렌 창
PawnClass,PAWN_CLASS_ZILLIAN_LONGBOW,질리언 장궁
PawnClass,PAWN_CLASS_ZILLIAN_MACE,질리언 메이스
SkillCategory,PASSIVE,직접 시전하지 않는 상시/조건 발동 스킬
SkillCategory,CAST,버튼 입력으로 1회 시전되는 스킬
SkillCategory,TOGGLE,켜기/끄기 상태를 가지는 지속형 스킬
SkillCategory,REACTION,직접 입력 없이 특정 전투 이벤트에 반응하는 스킬
SkillCombatType,NONE,전투 판정 없음
SkillCombatType,MELEE,근접 전투 스킬
SkillCombatType,RANGED,원거리 전투 스킬
SkillCombatType,SUPPORT,지원/유틸리티 스킬
TargetType,SELF,자기 자신 대상
TargetType,ENEMY_SINGLE,적 단일 대상
TargetType,ALLY_SINGLE,아군 단일 대상
TargetType,TILE_OR_ENEMY,타일 또는 적 대상
TargetType,ALL_ALLIES,시전자와 같은 편 전체 대상
TargetShape,LINE_2,지정 방향 일렬 2칸
EffectKey,PUSH_TARGET,피격 대상을 공격 반대 방향으로 1칸 밀어냄
EffectTarget,ALL_ALLIES,시전자와 같은 편 전체
ResourceType,MORALE,의지력 기반 사기 자원
TargetType,SELF_TOGGLE,자기 자신 On/Off 토글
TargetType,EMPTY_TILE,비어 있는 타일 대상
TargetType,ALLY_OR_SELF,인접 아군 또는 자기 자신 대상
TargetType,PICKUP_TILE,드롭된 장비가 있는 타일 대상
ScalingStat,NONE,스탯 계수 없음
ScalingStat,STR,힘 계수
ScalingStat,CON,체력/내구 계수
ScalingStat,DEX,민첩 계수
ScalingStat,SPELL,주문력 계수
ScalingStat,DEFENSE,방어 계수
ScalingStat,FOCUS,집중 계수
ScalingStat,WILL,의지 계수
TextOwnerType,SKILL,스킬 텍스트
TextOwnerType,PAWN,Pawn 텍스트 확장용
TextOwnerType,BUFF,버프/디버프 텍스트 확장용
TextOwnerType,ITEM,아이템 텍스트 확장용
TextType,NAME,표시 이름
TextType,SHORT,짧은 설명
TextType,DESC,상세 설명
EffectTrigger,ON_BATTLE_START,전투 시작 시
EffectTrigger,ON_OWNER_TURN_START,효과 소유자 턴 시작 시
EffectTrigger,ON_OWNER_TURN_END,효과 소유자 턴 종료 시
EffectTrigger,ON_CAST,스킬 시전 시
