ItemId,ItemType,DisplayName,SatietyDelta,HappinessDelta,ThirstDelta,ShelfLifeDays,BasePrice
string,enum,string,int,int,int,int,int
food_bread,FOOD,빵,4,1,0,3,4
food_chicken_leg,FOOD,닭다리,4,4,0,2,8
food_jerky,FOOD,육포,5,1,0,30,10
food_apple,FOOD,사과,1,3,0,10,3
food_cheese,FOOD,치즈,4,2,0,10,6
food_fish,FOOD,생선,4,2,0,1,5
food_wheat,FOOD,밀,2,0,0,30,1
drink_water,DRINK,물,0,0,5,3,2
food_berry,FOOD,베리,1,3,0,2,4
food_mushroom,FOOD,버섯,2,3,0,2,4
food_hard_biscuit,FOOD,건빵,5,0,0,30,7
food_herb,FOOD,허브,0,2,0,7,3
food_onion,FOOD,양파,2,1,0,14,1
food_potato,FOOD,감자,3,1,0,14,2
food_carrot,FOOD,당근,2,2,0,10,2
food_cabbage,FOOD,양배추,2,1,0,7,1
food_raw_meat,FOOD,생고기,4,1,0,1,5
food_egg,FOOD,달걀,3,1,0,7,3
food_flour,FOOD,밀가루,2,0,0,30,2
food_honey,FOOD,꿀,1,4,0,30,8
food_bean,FOOD,콩,3,1,0,30,3
food_butter,FOOD,버터,2,3,0,5,5
food_salt,FOOD,소금,0,2,0,-1,2
food_tomato,FOOD,토마토,2,2,0,3,3
trade_iron_ingot,TRADE,철괴,0,0,0,-1,
trade_copper,TRADE,구리,0,0,0,-1,
trade_gem,TRADE,보석,0,0,0,-1,
trade_fur,TRADE,모피,0,0,0,-1,
trade_frost_crystal,TRADE,서리 수정,0,0,0,-1,
trade_leather,TRADE,가죽,0,0,0,-1,
trade_dye,TRADE,염료,0,0,0,-1,
trade_silk,TRADE,비단,0,0,0,-1,
trade_spice,TRADE,향신료,0,0,0,-1,
trade_oil,TRADE,기름,0,0,0,-1,
trade_pearl,TRADE,진주,0,0,0,-1,
trade_wool,TRADE,양모,0,0,0,-1,
